                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6575,                    4.3,                 3.4317,                0.63411,                0.54003,                0.58802,                0.28315,                 1.9008,                 4.1955,                 2.9363,             0.00055308,             0.00055308,             0.00055308
                      2,                 1.4069,                 1.6057,                  1.899,                0.89325,                0.78949,                0.87286,                0.58805,                 1.2035,                 1.2363,                 1.7019,             0.00099898,             0.00099898,             0.00099898
                      3,                 1.0996,                0.98439,                 1.5149,                0.91284,                0.84324,                0.91687,                0.62012,                  1.079,                0.94788,                 1.4951,              0.0013349,              0.0013349,              0.0013349
                      4,                 0.9878,                0.78401,                 1.3805,                0.93387,                0.87732,                0.94357,                0.67755,                0.94308,                0.81682,                 1.3774,              0.0011719,              0.0011719,              0.0011719
                      5,                0.91041,                0.68604,                 1.2795,                 0.9651,                0.89379,                0.96248,                0.72988,                0.84227,                0.64162,                 1.2743,              0.0010069,              0.0010069,              0.0010069
                      6,                0.85314,                 0.6117,                 1.2207,                0.96719,                 0.9171,                0.97085,                0.65144,                 1.0826,                0.68617,                 1.3305,             0.00084184,             0.00084184,             0.00084184
                      7,                0.77609,                0.54852,                 1.1647,                0.97003,                0.94287,                0.97983,                0.76678,                0.76455,                0.52995,                 1.1688,              0.0006768,              0.0006768,              0.0006768
                      8,                0.74025,                0.50453,                 1.1272,                0.97372,                0.94076,                0.97924,                0.78577,                0.71411,                0.48544,                 1.1316,             0.00051177,             0.00051177,             0.00051177
                      9,                0.70401,                0.47396,                  1.099,                0.97514,                0.95578,                0.98291,                0.80278,                0.66896,                0.46931,                 1.0825,             0.00034674,             0.00034674,             0.00034674
                     10,                 0.6669,                0.44568,                 1.0711,                0.98326,                0.95313,                0.98519,                0.83142,                0.61647,                 0.4265,                 1.0487,              0.0001817,              0.0001817,              0.0001817
